candidate_id,ticker,trading_date,graded_at,score,tier,entry_open,same_day_close,ret_open_close_net,ret_open_5dclose_net,mfe_5d,mae_5d,win,note
9dfeeef8-8002-4a29-b5f2-ca99c0e34f6a,FBLG,2026-08-07,2026-08-14T21:25:21,65.8,B,1.04,0.976,-8.1538,-0.0769,22.9808,-8.6538,0,
942740c8-943d-4162-9e47-fb2fdaaf2f71,III,2026-08-07,2026-08-14T21:25:21,50.8,C,4.99,5.19,2.008,1.4068,7.4148,-3.006,1,
40449be4-8c0c-4428-9ddc-1a82632f677d,WETO,2026-08-07,2026-08-14T21:25:21,60.9,B,5.49,4.96,-11.6539,47.7268,135.8834,-39.1621,0,
8d1b43e1-a3ee-4c5d-a01f-0cb8d5e04aa7,OPRT,2026-08-07,2026-08-17T21:20:58,63.4,B,8.25,8.09,-3.9394,-10.8485,0.1212,-11.0909,0,
e7c079e7-0974-40f2-a24c-d4dadd66c4bc,SGHT,2026-08-07,2026-08-17T21:20:58,58.0,C,7.24,7.47,1.1768,10.4309,18.7845,-2.9005,1,
9ef1f741-fef0-4846-981b-cf06e32b3c5e,TASK,2026-08-07,2026-08-17T21:20:58,63.9,B,7.71,7.3,-7.3178,-8.7445,2.7886,-14.786,0,
ec3b1929-7147-497d-bf16-19136c7415f4,BSEM,2026-08-07,2026-08-17T21:20:58,63.1,B,3.936,4.093,1.9888,-25.7805,18.3943,-42.81,1,
f86bcfef-2482-4074-9a62-e63e7e6ce2c3,CION,2026-08-07,2026-08-17T21:20:59,42.6,D,7.25,7.51,1.5862,-2.5517,6.2069,-0.8152,1,
d7feb071-bea8-45d6-96a3-3eeb83af9a80,TKNO,2026-08-07,2026-08-17T21:20:59,63.1,B,6.53,6.46,-3.072,8.5666,20.0613,-4.5482,0,
f812922e-1db1-4a0e-b49a-90984a0d8557,ARCT,2026-08-10,2026-08-17T21:20:59,60.9,B,7.35,7.05,-6.0816,8.7483,15.3741,-6.5306,0,
810903e3-3ebe-444b-93cd-9925d0a91cfc,NEPH,2026-08-10,2026-08-17T21:21:00,74.3,B,4.41,4.38,-2.6803,-4.0408,8.39,-9.297,0,
15d4258c-ab8a-4522-91a2-6551fa4fe7d6,ULBI,2026-08-10,2026-08-17T21:21:00,68.6,B,6.39,6.94,6.6072,11.7715,19.8748,-2.8169,1,
5120c8ba-e448-41a6-b64b-d1e3620732a9,PEPG,2026-08-10,2026-08-17T21:21:00,51.9,C,2.9,2.99,1.1034,2.8276,8.2759,-5.1724,1,
34fd1864-e67b-4a4d-a8f6-3d2a5ea9472d,QRHC,2026-08-10,2026-08-17T21:21:00,68.5,B,1.49,1.48,-2.6711,7.396,11.4094,-8.7248,0,
