ts,event,picks_sha256,outcomes_sha256,paths_sha256,prev_chain,chain
2026-07-23T22:00:57.904975+00:00,grade,23e025eec37ad2e5d306e63ab381fb9fc4ddec5e904f4a0268d7897914ac9854,c6899b430bf9844284a441a99628c5cbdfe628eea971c36b7ea2b8d96cd01711,3363cd61e7ad3b5202724b1ebbd1e27e11e16970ff0639671dbc1300729a0170,bd304a4cebaaa6eb89668b4f6c5cdd12ddec8de070a04cf44afacf099d5eb77c,124be59fc53ecf9b5cdbfe30d8ed82c96aa92be75d73bc69214ee08a72b3702d
2026-07-24T12:57:47.268935+00:00,scan,c505cccd86890019b0b1decd96a3ff869c94cc8adbf3ab5a3b9a4e28dd7da48a,c6899b430bf9844284a441a99628c5cbdfe628eea971c36b7ea2b8d96cd01711,3363cd61e7ad3b5202724b1ebbd1e27e11e16970ff0639671dbc1300729a0170,124be59fc53ecf9b5cdbfe30d8ed82c96aa92be75d73bc69214ee08a72b3702d,e8bdfc20054f1e2a17ddc737dd98d23d314abe81315384cd27d19a5f6c175b40
2026-07-24T22:01:12.147037+00:00,grade,c505cccd86890019b0b1decd96a3ff869c94cc8adbf3ab5a3b9a4e28dd7da48a,7efae5c7d6da405a6004c80c4a476caa334a26211f7046dce0d41dbb2fdadeec,4356b808ba6c4ad51203b70a8d40da37b82c8a95dd34255ff2199d025dfc4131,e8bdfc20054f1e2a17ddc737dd98d23d314abe81315384cd27d19a5f6c175b40,495c388bdb4f6b0200d76c957206e9d9af8670cd807ce68588231aea23f6130d
2026-07-25T15:03:34.083174+00:00,report,c505cccd86890019b0b1decd96a3ff869c94cc8adbf3ab5a3b9a4e28dd7da48a,7efae5c7d6da405a6004c80c4a476caa334a26211f7046dce0d41dbb2fdadeec,4356b808ba6c4ad51203b70a8d40da37b82c8a95dd34255ff2199d025dfc4131,495c388bdb4f6b0200d76c957206e9d9af8670cd807ce68588231aea23f6130d,bc5326c5506d887146a29746757c3339f590d3aa3cb5ff702a1b057c81ebd2cc
2026-07-27T13:54:23.057756+00:00,scan,b2836ab5e5bf2e56b2d2dee94a102a51ab790ef90961f1a28512b4d67d270d89,7efae5c7d6da405a6004c80c4a476caa334a26211f7046dce0d41dbb2fdadeec,4356b808ba6c4ad51203b70a8d40da37b82c8a95dd34255ff2199d025dfc4131,bc5326c5506d887146a29746757c3339f590d3aa3cb5ff702a1b057c81ebd2cc,d0478cf9bedd2daf8b03456e94a4897776b7367770d5542d0326a764f304ba2d
2026-07-27T22:02:01.745935+00:00,grade,b2836ab5e5bf2e56b2d2dee94a102a51ab790ef90961f1a28512b4d67d270d89,b357ed8f6daef1d8dd3a18eb2b6cf6c52f69752fbf743052bedea76045c9f9ac,072f430c571f7e79f43fdec37db64b18a3b278a6b68a25904acf3a3bc5ab9086,d0478cf9bedd2daf8b03456e94a4897776b7367770d5542d0326a764f304ba2d,66c20369adb0963b8ffb0a3c26385bc1135376e3cf5a98f49683ce3f1f980e85
2026-07-28T13:10:40.223346+00:00,scan,2c651234222202d334d70a59c9eb60d342a0eecd1ff4c01568d5b630f39e33cd,b357ed8f6daef1d8dd3a18eb2b6cf6c52f69752fbf743052bedea76045c9f9ac,072f430c571f7e79f43fdec37db64b18a3b278a6b68a25904acf3a3bc5ab9086,66c20369adb0963b8ffb0a3c26385bc1135376e3cf5a98f49683ce3f1f980e85,09b8b705d15edafe486e0b9d8e39d77fbc48385a45123f1c16dfa4a26df5797d
2026-07-28T21:59:35.166051+00:00,grade,2c651234222202d334d70a59c9eb60d342a0eecd1ff4c01568d5b630f39e33cd,b923e279a105002bd7f4612e994e170e280203019013549e990fd5ff9f903ce0,8db9c3dc16c81a34a50b8935322479d1273e950cd80af639b1dbcca7ad6b3006,09b8b705d15edafe486e0b9d8e39d77fbc48385a45123f1c16dfa4a26df5797d,3708dec5bbcb0ca03ea6f27426cfef32f9ac5526f2ab20f0ecae82589c734657
2026-07-29T13:15:57.552181+00:00,scan,68bd2897838e97550aff4fc0217237ae663fd7ba1cad103823c4e0e031f91117,b923e279a105002bd7f4612e994e170e280203019013549e990fd5ff9f903ce0,8db9c3dc16c81a34a50b8935322479d1273e950cd80af639b1dbcca7ad6b3006,3708dec5bbcb0ca03ea6f27426cfef32f9ac5526f2ab20f0ecae82589c734657,10d7e5a9d8c59df9f02d67bacd1deb99673372da6591d61a5283407ce3bda548
2026-07-29T21:56:26.514825+00:00,grade,68bd2897838e97550aff4fc0217237ae663fd7ba1cad103823c4e0e031f91117,2831b3321a165443ba34f91db76e979d94a20535eaddb82de2a0968509f78d76,549358852253a3e6bd9892aca0bb684cc7168c63db226a33291cfaee0d73b2f6,10d7e5a9d8c59df9f02d67bacd1deb99673372da6591d61a5283407ce3bda548,d936273e81b01b3a67397a4c6c22b7d371a855bf3d303915f70749be07c14be1
2026-07-30T13:07:11.350476+00:00,scan,40150f3c00d127de758be15e6c806fe1ba55a0e43974ccf0a34a1b1b1c189dc8,2831b3321a165443ba34f91db76e979d94a20535eaddb82de2a0968509f78d76,549358852253a3e6bd9892aca0bb684cc7168c63db226a33291cfaee0d73b2f6,d936273e81b01b3a67397a4c6c22b7d371a855bf3d303915f70749be07c14be1,6b33f9e5c00e4a71754ebb665724aa9ae1115b0931ddebf13c8960baebbdca42
2026-07-30T22:08:10.559264+00:00,grade,40150f3c00d127de758be15e6c806fe1ba55a0e43974ccf0a34a1b1b1c189dc8,34e9b048b0378fe27d02246810a05a4567c5d637c9a4d12b415233ada9ec6fe3,6346dd5f93501165fc6ca795d203fe3bdc77979fc77af9b8e8cdd88f4fd50dfd,6b33f9e5c00e4a71754ebb665724aa9ae1115b0931ddebf13c8960baebbdca42,9a0e57891a9b6314ba4e93887fef53c4a70ccfc2c4509d9b01240e52d7f98587
